name,price,url,destination,duration,aHref,hrefTags,hotel,flight,category
The Soaltee Kathmandu,20813,file:///image\TheSoalteeKathmandu.png,"Tahachal, Kathmandu",,,,,,hotel
Hotel Shanker,11425,file:///image\HotelSanker.png,"Lazimpat, Kathmandu",,,,,,hotel
Hotel Manaslu,10779,file:///image\HotelManaslu.png,"Lazimpat, Kathmandu",,,,,,hotel
Nirvana Garden Hotel,10779,file:///image\NirvanaGardenHotel.png,"Thamel, Kathmandu",,,,,,hotel
Hotel Marshyangdi,5414,file:///image\HotelMarshyangdi.png,"Thamel, Kathamdu",,,,,,hotel
Ai Boutique Hotel,5323,file:///image\AiBoutiqueHotel.png,"Satghumpti, Kathmandu",,,,,,hotel
Dragon Homestay,2375,file:///image\DragonHomestay.png,"Pandubazaar height, Gumba Marg, Bhaktapur",,,,,,hotel
Shiva Guest House,2857,file:///image\ShivaGuestHouse.png,"Durbar Square, Bhaktapur",,,,,,hotel
Hotel Nagarjun Palace,6654,file:///image\HotelNagarjunPalace.png,Nagarjun,,,,,,hotel
Fish Tail Lodge,7371,file:///image\FishTailLodge.png,"Lakeside Rd, Pokhara ",,,,,,hotel
Hotel Crown Himalayas,4663,file:///image\HotelCrownHimalayas.png,"Baidam ,gaurighat, Lakeside, Pokhara",,,,,,hotel
Hotel Gurkha Haven,4167,file:///image\HotelGurkhaHaven.png,"Dam side, Pokhara",,,,,,hotel
Rara Trek,2000,file:///image\RaraTrek.png,https://ntb.gov.np/en/rara,3,,,,,hiking and trekking
Panorama Himalaya Trekking,100000,https://www.himalayajourneys.com/nepal-panorama-trekking-tour.php,,24,,,,,hiking and trekking
Taplejung Trek,900,https://ntb.gov.np/en/pathivara--taplejung,,,,,,,hiking and trekking
Namche Bazaar,1300,https://ntb.gov.np/en/namche-bazaar,,,,,,,hiking and trekking
Khaptad Trekking,2500,https://ntb.gov.np/en/khaptad-national-park-nepal,,,,,,,hiking and trekking
Jomsom and Muktinath Trek,,https://ntb.gov.np/en/jomsom-muktinath,,,,,,,hiking and trekking
Tengboche Trek,,https://ntb.gov.np/en/tengboche,,,,,,,hiking and trekking
Khunde & Khumjung Trek,,https://ntb.gov.np/en/khunde-&-khumjung,,,,,,,hiking and trekking
Upper Seti River Rafting - 1/2 Day,,https://www.paddlenepal.com/rafting-upper-seti-river/,,,,,,,rafting
Marshyangdi River Rafting - 2 Days,,https://www.paddlenepal.com/marshyangdi-river-2-days/,,,,,,,rafting
Lower Seti River Rafting - 2 Dyas,,https://www.paddlenepal.com/lower-seti-river-2-days/,,,,,,,rafting
Kaligandaki River Rafting - 3 Days,,https://www.paddlenepal.com/rafting-kaligandaki-river-3-days/,,,,,,,rafting
Lower Kaligandaki River Rafting - 6 Days,,https://www.paddlenepal.com/rafting-lower-kaligandaki-river-6-days/,,,,,,,rafting
Sun Koshi River Rafting - 9 Days,,https://www.paddlenepal.com/rafting-sun-koshi-river-rafting-9-days/,,,,,,,rafting
Karnali River Rafting - 10 Days,,https://www.paddlenepal.com/rafting-karnali-river-rafting-10-days/,,,,,,,rafting
Tamur River - 12 Days,,https://www.paddlenepal.com/rafting-tamur-river-rafting-12-days/,,,,,,,rafting
